theater_id,name,alternate_names,address,borough,latitude,longitude,image_url,image_path,opening_year,closing_year,reopening_year,status,screen_count,source,source_url,source_date,date_source,date_source_url,date_source_date,date_research_status,confidence,notes,geocode_status,geocode_match_type,geocoded_address,geocoded_latitude,geocoded_longitude,current_place_name,current_place_category,current_place_type,closure_audit_result,closure_audit_confidence,closure_audit_source,closure_audit_date,closure_audit_note
6379,5th Avenue Cinema,"5th Avenue Playhouse, Cinema de Paris, Fifth Avenue Cinema","66 5th Avenue, New York, NY 10011",Manhattan,40.7352945,-73.9944323,https://photos.cinematreasures.org/production/photos/45190/1337810142/large.JPG?1337810142,theater_images/6379.jpg,1925,1974,,Closed,1,Cinema Treasures,https://cinematreasures.org/theaters/6379,9/15/26,,,,,high,,,,,,,,,,,,,,
1201,68th Street Playhouse,,"1164 3rd Avenue, New York, NY 10065",Manhattan,40.7670911,-73.9627918,https://photos.cinematreasures.org/production/photos/70/1306000537/large.JPG?1306000537,theater_images/1201.jpg,1914,2023,,Closed,1,Cinema Treasures,https://cinematreasures.org/theaters/1201,9/15/26,,,,,low,Most recent stated closing year retained.,,,,,,,,,,,,,
7310,72nd Street Playhouse,"Granada Theatre, Trans-Lux Theatre, 72nd Street East Theatre","346 E. 72nd Street, New York, NY 10021",Manhattan,40.7681798,-73.9569298,https://photos.cinematreasures.org/production/photos/24242/1314833202/large.jpg?1314833202,theater_images/7310.jpg,1914,1984,,Closed,1,Cinema Treasures,https://cinematreasures.org/theaters/7310,9/15/26,,,,,high,,,,,,,,,,,,,,
4697,777 Theatre,"Hollywood Twin Cinema, Hollywood Twin Theater","777 8th Avenue, New York, NY 10036",Manhattan,40.760813,-73.987319,https://photos.cinematreasures.org/production/photos/90301/1387416207/large.JPG?1387416207,theater_images/4697.jpg,1971,2022,2013,Closed,2,Cinema Treasures,https://cinematreasures.org/theaters/4697,9/15/26,,,,,low,Most recent stated closing year retained.,,,,,,,,,,,,,
14720,77th Street Theatre,,"2184 Broadway, New York, NY 10024",Manhattan,40.7826525,-73.980585,https://photos.cinematreasures.org/production/photos/262262/1544984460/large.gif?1544984460,theater_images/14720.gif,,unknown,,Closed,1,Cinema Treasures,https://cinematreasures.org/theaters/14720,9/15/26,,,,,medium,"Not stated on source page: opening year, closing year. Current-address audit found no confirmed continuation of this theater; it is closed, but the closing year is unknown.",Match,Exact,"2184 BROADWAY, NEW YORK, NY, 10024",40.78258013,-73.98067944,Broadway & West 77th Street,highway,bus_stop,closed_unknown_date,medium,U.S. Census Geocoder; OpenStreetMap via Photon and Overpass,9/16/26,No matching current theater was found at the geocoded address. Closing date remains unknown.
14085,86th Street Grande Theatre,"86th Street Winter Garden, 86th Street Garden Theatre","160 E. 86th Street, New York, NY 10128",Manhattan,40.7791688,-73.9548733,https://photos.cinematreasures.org/production/photos/22224/1313622357/large.jpg?1313622357,theater_images/14085.jpg,,unknown,,Closed,1,Cinema Treasures,https://cinematreasures.org/theaters/14085,9/15/26,,,,,medium,"Not stated on source page: opening year, closing year. Current-address audit found no confirmed continuation of this theater; it is closed, but the closing year is unknown.",Match,Non_Exact,"160 E 86TH ST, NEW YORK, NY, 10028",40.77923431,-73.95512125,East 86th Street,highway,secondary,closed_unknown_date,medium,U.S. Census Geocoder; OpenStreetMap via Photon and Overpass,9/16/26,No matching current theater was found at the geocoded address. Closing date remains unknown.
4699,8th Street Playhouse,Film Guild Cinema,"52 W. 8th Street, New York, NY 10011",Manhattan,40.733238,-73.998866,https://photos.cinematreasures.org/production/photos/137894/1443626880/large.jpg?1443626880,theater_images/4699.jpg,1929,1992,,Closed,1,Cinema Treasures,https://cinematreasures.org/theaters/4699,9/15/26,,,,,high,,,,,,,,,,,,,,
22754,96th Street Theatre,"New Third Avenue Theatre, Yorkville Theatre, National Theatre","1703 3rd Avenue, New York, NY 10128",Manhattan,40.785448,-73.94913,https://photos.cinematreasures.org/production/photos/263040/1546383271/large.jpg?1546383271,theater_images/22754.jpg,1946,1949,,Closed,1,Cinema Treasures,https://cinematreasures.org/theaters/22754,9/15/26,,,,,low,Closing year is approximate (1949). Most recent stated closing year retained.,,,,,,,,,,,,,
44406,Abbey Theatre,,"869 Longwood Avenue, Bronx, NY 10459",Bronx,40.8160449,-73.8957392,,,,1926,,Closed,1,Cinema Treasures,https://cinematreasures.org/theaters/44406,9/15/26,,,,,medium,"Not stated on source page: opening year, image.",,,,,,,,,,,,,
1301,Academy of Music,The Palladium,"126 E. 14th Street, New York, NY 10003",Manhattan,40.733345,-73.98823,https://photos.cinematreasures.org/production/photos/27041/1316717408/large.jpg?1316717408,theater_images/1301.jpg,1926,unknown,,Closed,1,Cinema Treasures,https://cinematreasures.org/theaters/1301,9/15/26,,,,,medium,"Not stated on source page: closing year. Current-address audit found no confirmed continuation of this theater; it is closed, but the closing year is unknown.",Match,Exact,"126 E 14TH ST, NEW YORK, NY, 10003",40.7337101,-73.98833394,Farook's Halal Cart,amenity,restaurant,closed_unknown_date,medium,U.S. Census Geocoder; OpenStreetMap via Photon and Overpass,9/16/26,No matching current theater was found at the geocoded address. Closing date remains unknown.
21962,Academy of Music,,"125 E. 14th Street, New York, NY 10003",Manhattan,40.7338542,-73.9885772,https://photos.cinematreasures.org/production/photos/190127/1478298302/large.jpg?1478298302,theater_images/21962.jpg,1854,unknown,,Closed,1,Cinema Treasures,https://cinematreasures.org/theaters/21962,9/15/26,,,,,medium,"Not stated on source page: closing year. Current-address audit found no confirmed continuation of this theater; it is closed, but the closing year is unknown.",Match,Exact,"125 E 14TH ST, NEW YORK, NY, 10003",40.73407043,-73.98887045,Chipotle,amenity,fast_food,closed_unknown_date,medium,U.S. Census Geocoder; OpenStreetMap via Photon and Overpass,9/16/26,No matching current theater was found at the geocoded address. Closing date remains unknown.
34279,Academy Theater at Lighthouse International,,"111 E. 59th Street, New York, NY 10022",Manhattan,40.762954,-73.96894,https://photos.cinematreasures.org/production/photos/5844/1308525524/large.jpeg?1308525524,theater_images/34279.jpeg,,unknown,2010,Closed,1,Cinema Treasures,https://cinematreasures.org/theaters/34279,9/15/26,,,,,medium,"Not stated on source page: opening year, closing year. Current-address audit found no confirmed continuation of this theater; it is closed, but the closing year is unknown.",Match,Exact,"111 E 59TH ST, NEW YORK, NY, 10022",40.7628744,-73.96954705,Sherry Lehmann Wine & Spirits,shop,alcohol,closed_unknown_date,medium,U.S. Census Geocoder; OpenStreetMap via Photon and Overpass,9/16/26,No matching current theater was found at the geocoded address. Closing date remains unknown.
10081,Academy Theatre,,"287 E. Houston Street, New York, NY 10002",Manhattan,40.7213974,-73.9837535,https://photos.cinematreasures.org/production/photos/120107/1426599221/large.jpg?1426599221,theater_images/10081.jpg,1910,1935,,Closed,1,Cinema Treasures,https://cinematreasures.org/theaters/10081,9/15/26,,,,,high,,,,,,,,,,,,,,
5927,Ace Theatre,,"95-02 101st Avenue, Ozone Park, NY 11416",Queens,40.6843093,-73.8458037,https://photos.cinematreasures.org/production/photos/228613/1514243782/large.jpg?1514243782,theater_images/5927.jpg,,1953,,Closed,1,Cinema Treasures,https://cinematreasures.org/theaters/5927,9/15/26,,,,,medium,Not stated on source page: opening year.,,,,,,,,,,,,,
6091,Ace Theatre,Congress Theatre,"550 Southern Boulevard, Bronx, NY 10455",Bronx,40.8123367,-73.9032996,https://photos.cinematreasures.org/production/photos/156830/1454197866/large.jpg?1454197866,theater_images/6091.jpg,1926,unknown,,Closed,1,Cinema Treasures,https://cinematreasures.org/theaters/6091,9/15/26,,,,,low,"Opening year is an upper bound ('prior to/before 1926'). Not stated on source page: closing year. Current-address audit found no confirmed continuation of this theater; it is closed, but the closing year is unknown.",Match,Exact,"550 SOUTHERN BLVD, BRONX, NY, 10455",40.81227058,-73.90343212,548,place,house,closed_unknown_date,medium,U.S. Census Geocoder; OpenStreetMap via Photon and Overpass,9/16/26,No matching current theater was found at the geocoded address. Closing date remains unknown.
12399,Acme Theatre,"Union Square Theatre, Keith & Proctor's Union Square Theatre, Bijou Dream Theatre","50 E. 14th Street, New York, NY 10003",Manhattan,40.7349964,-73.9912355,https://photos.cinematreasures.org/production/photos/226947/1513285707/large.jpeg?1513285707,theater_images/12399.jpeg,,1936,,Closed,1,Cinema Treasures,https://cinematreasures.org/theaters/12399,9/15/26,,,,,medium,Not stated on source page: opening year.,,,,,,,,,,,,,
42950,Acme Theatre,,"83-12 Broadway, Elmhurst, NY 11373",Queens,40.7406149,-73.8793046,https://photos.cinematreasures.org/production/photos/340505/1616388201/large.jpg?1616388201,theater_images/42950.jpg,,1918,,Closed,1,Cinema Treasures,https://cinematreasures.org/theaters/42950,9/15/26,,,,,medium,Not stated on source page: opening year.,,,,,,,,,,,,,
50195,Acme Theatre,,"245 St Marks Avenue, Brooklyn, NY 11238",Brooklyn,40.678311,-73.967382,https://photos.cinematreasures.org/production/photos/140075/1445444924/large.JPG?1445444924,theater_images/50195.jpg,1910,1913,,Closed,1,Cinema Treasures,https://cinematreasures.org/theaters/50195,9/15/26,,,,,low,Opening year represents an approximate decade reference (1910). Most recent stated closing year retained.,,,,,,,,,,,,,
44407,Acorn Theatre,,"3338 Broadway, New York, NY 10031",Manhattan,40.820187,-73.9548608,,,1914,1913,,Closed,1,Cinema Treasures,https://cinematreasures.org/theaters/44407,9/15/26,,,,,medium,Not stated on source page: image.,,,,,,,,,,,,,
4693,Adonis Theatre,Tivoli Theatre,"839 8th Avenue, New York, NY 10019",Manhattan,40.7627037,-73.985829,https://photos.cinematreasures.org/production/photos/251787/1533941859/large.jpg?1533941859,theater_images/4693.jpg,1921,1989,,Closed,1,Cinema Treasures,https://cinematreasures.org/theaters/4693,9/15/26,,,,,high,,,,,,,,,,,,,,
53864,Airdome Pictures,,"W. 109th Street and Manhattan Avenue, New York, NY 10025",Manhattan,40.800586,-73.9600704,https://photos.cinematreasures.org/production/photos/185306/1475937603/large.jpg?1475937603,theater_images/53864.jpg,1911,unknown,,Closed,1,Cinema Treasures,https://cinematreasures.org/theaters/53864,9/15/26,,,,,medium,"Not stated on source page: closing year. Current-address audit found no confirmed continuation of this theater; it is closed, but the closing year is unknown.",Match,Exact,"W 109TH ST & MANHATTAN AVE, NEW YORK, NY, 10025",40.80058272,-73.96006356,West 109th Street,highway,residential,closed_unknown_date,medium,U.S. Census Geocoder; OpenStreetMap via Photon and Overpass,9/16/26,No matching current theater was found at the geocoded address. Closing date remains unknown.
54106,Alamo Drafthouse Downtown Brooklyn,,"445 Albee Square West, Brooklyn, NY 11201",Brooklyn,40.6906999,-73.9834789,https://photos.cinematreasures.org/production/photos/188825/1477528876/large.jpg?1477528876,theater_images/54106.jpg,2016,,,Open (Showing movies),12,Cinema Treasures,https://cinematreasures.org/theaters/54106,9/15/26,,,,,high,,,,,,,,,,,,,,
61222,Alamo Drafthouse Lower Manhattan 14,Alamo Drafthouse 28 Liberty,"28 Liberty Street, New York, NY 10005",Manhattan,40.7077585,-74.0088503,https://photos.cinematreasures.org/production/photos/356454/1633485777/large.jpg?1633485777,theater_images/61222.jpg,2019,,,Open (Showing movies),14,Cinema Treasures,https://cinematreasures.org/theaters/61222,9/15/26,,,,,high,,,,,,,,,,,,,,
61223,Alamo Drafthouse Staten Island,,"2636 Hylan Boulevard, Staten Island, NY 10306",Staten Island,,,https://photos.cinematreasures.org/production/photos/363526/1643410115/large.jpeg?1643410115,theater_images/61223.jpeg,2019,,,Open (Showing movies),9,Cinema Treasures,https://cinematreasures.org/theaters/61223,9/15/26,,,,,medium,Not stated on source page: coordinates.,,,,,,,,,,,,,
4079,Alba Theatre,"Fox Alba Theatre, Loew's Alba Theatre","750 Flushing Avenue, Brooklyn, NY 11206",Brooklyn,40.7006629,-73.9425961,https://photos.cinematreasures.org/production/photos/24296/1314896864/large.jpg?1314896864,theater_images/4079.jpg,1929,1970,,Closed,1,Cinema Treasures,https://cinematreasures.org/theaters/4079,9/15/26,,,,,high,,,,,,,,,,,,,,
50115,Albany Moving Picture Parlor,,"1567 Fulton Street, Brooklyn, NY 11216",Brooklyn,40.680038,-73.938603,https://photos.cinematreasures.org/production/photos/138551/1444057213/large.JPG?1444057213,theater_images/50115.jpg,1909,1919,,Closed,1,Cinema Treasures,https://cinematreasures.org/theaters/50115,9/15/26,,,,,high,,,,,,,,,,,,,,
2553,Albemarle Theatre,,"973 Flatbush Avenue, Brooklyn, NY 11226",Brooklyn,40.647518,-73.957418,https://photos.cinematreasures.org/production/photos/27030/1316716326/large.jpg?1316716326,theater_images/2553.jpg,1921,unknown,,Closed,1,Cinema Treasures,https://cinematreasures.org/theaters/2553,9/15/26,,,,,medium,"Not stated on source page: closing year. Current-address audit found no confirmed continuation of this theater; it is closed, but the closing year is unknown.",Match,Exact,"973 FLATBUSH AVE, BROOKLYN, NY, 11226",40.64771593,-73.95807367,971,place,house,closed_unknown_date,medium,U.S. Census Geocoder; OpenStreetMap via Photon and Overpass,9/16/26,No matching current theater was found at the geocoded address. Closing date remains unknown.
8202,Alben Theatre,Etude Theatre,"5406 Third Avenue, Brooklyn, NY 11220",Brooklyn,40.645525,-74.017488,https://photos.cinematreasures.org/production/photos/2264/1307197321/large.jpg?1307197321,theater_images/8202.jpg,,1962,,Closed,1,Cinema Treasures,https://cinematreasures.org/theaters/8202,9/15/26,,,,,medium,Not stated on source page: opening year.,,,,,,,,,,,,,
7742,Alhambra Theatre,Loew's Alhambra Theatre,"783 Knickerbocker Avenue, Brooklyn, NY 11207",Brooklyn,40.6929844,-73.9078846,https://photos.cinematreasures.org/production/photos/1218/1306859561/large.jpg?1306859561,theater_images/7742.jpg,1914,unknown,,Closed,1,Cinema Treasures,https://cinematreasures.org/theaters/7742,9/15/26,,,,,medium,"Not stated on source page: closing year. Current-address audit found no confirmed continuation of this theater; it is closed, but the closing year is unknown.",Match,Exact,"783 KNICKERBOCKER AVE, BROOKLYN, NY, 11207",40.69281805,-73.90769532,794,building,yes,closed_unknown_date,medium,U.S. Census Geocoder; OpenStreetMap via Photon and Overpass,9/16/26,No matching current theater was found at the geocoded address. Closing date remains unknown.
37356,Alhambra Theatre,"Alhambra Music Hall, Alhambra Photoplay, Fifth Avenue Hippodrome","214 5th Avenue, Brooklyn, NY 11215",Brooklyn,40.676003,-73.980857,https://photos.cinematreasures.org/production/photos/32748/1325519088/large.jpg?1325519088,theater_images/37356.jpg,1897,1934,,Closed,1,Cinema Treasures,https://cinematreasures.org/theaters/37356,9/15/26,,,,,low,Most recent stated closing year retained.,,,,,,,,,,,,,
63118,Alice Tully Hall,,"1941 Broadway, New York, NY 10023",Manhattan,,,https://photos.cinematreasures.org/production/photos/417268/1691126291/large.jpg?1691126291,theater_images/63118.jpg,1969,,,Open (Showing movies),1,Cinema Treasures,https://cinematreasures.org/theaters/63118,9/15/26,,,,,medium,Not stated on source page: coordinates.,,,,,,,,,,,,,
12443,Allerton Theatre,,"744 Allerton Avenue, Bronx, NY 10467",Bronx,40.8653141,-73.8656598,https://photos.cinematreasures.org/production/photos/141618/1446379699/large.png?1446379699,theater_images/12443.png,1927,unknown,,Closed,3,Cinema Treasures,https://cinematreasures.org/theaters/12443,9/15/26,,,,,medium,"Not stated on source page: closing year. Current-address audit found no confirmed continuation of this theater; it is closed, but the closing year is unknown.",Match,Exact,"744 ALLERTON AVE, BRONX, NY, 10467",40.86540951,-73.86560594,748,place,house,closed_unknown_date,medium,U.S. Census Geocoder; OpenStreetMap via Photon and Overpass,9/16/26,No matching current theater was found at the geocoded address. Closing date remains unknown.
5827,Alpine Cinema,Loew's Alpine Theatre,"6817 5th Avenue, Brooklyn, NY 11220",Brooklyn,40.633406,-74.0203049,https://photos.cinematreasures.org/production/photos/95564/1393412175/large.jpg?1393412175,theater_images/5827.jpg,1921,,,Open (Showing movies),8,Cinema Treasures,https://cinematreasures.org/theaters/5827,9/15/26,,,,,high,,,,,,,,,,,,,,
7627,Alpine Theatre,,"208 Dyckman Street, New York, NY 10040",Manhattan,40.8650747,-73.9271116,https://photos.cinematreasures.org/production/photos/34787/1328105035/large.jpg?1328105035,theater_images/7627.jpg,1935,unknown,,Closed,1,Cinema Treasures,https://cinematreasures.org/theaters/7627,9/15/26,,,,,medium,"Not stated on source page: closing year. Current-address audit found no confirmed continuation of this theater; it is closed, but the closing year is unknown.",Match,Exact,"208 DYCKMAN ST, NEW YORK, NY, 10040",40.86521797,-73.92715033,Dyckman Street,highway,primary,closed_unknown_date,medium,U.S. Census Geocoder; OpenStreetMap via Photon and Overpass,9/16/26,"A nearby mapped venue matched part of the name, but review did not confirm it as the same historical theater; the theater is closed and its closing year remains unknown."
50190,Alvon Theatre,,"2970 Fulton Street, Brooklyn, NY 11208",Brooklyn,40.679542,-73.885095,https://photos.cinematreasures.org/production/photos/139948/1445352055/large.JPG?1445352055,theater_images/50190.jpg,1909,1919,,Closed,1,Cinema Treasures,https://cinematreasures.org/theaters/50190,9/15/26,,,,,high,,,,,,,,,,,,,,
6844,Ambassador Theatre,,"776 Saratoga Avenue, Brooklyn, NY 11212",Brooklyn,40.6617197,-73.915541,https://photos.cinematreasures.org/production/photos/42237/1334568245/large.jpg?1334568245,theater_images/6844.jpg,1926,unknown,,Closed,1,Cinema Treasures,https://cinematreasures.org/theaters/6844,9/15/26,,,,,medium,"Not stated on source page: closing year. Current-address audit found no confirmed continuation of this theater; it is closed, but the closing year is unknown.",Match,Exact,"776 SARATOGA AVE, BROOKLYN, NY, 11212",40.66172139,-73.9155915,Saratoga Avenue & Livonia Avenue,highway,bus_stop,closed_unknown_date,medium,U.S. Census Geocoder; OpenStreetMap via Photon and Overpass,9/16/26,No matching current theater was found at the geocoded address. Closing date remains unknown.
16414,Ambassador Theatre,Cine Roma,"215 W. 49th Street, New York, NY 10019",Manhattan,40.761261,-73.985,https://photos.cinematreasures.org/production/photos/39901/1332629099/large.jpg?1332629099,theater_images/16414.jpg,1921,,,Open,1,Cinema Treasures,https://cinematreasures.org/theaters/16414,9/15/26,,,,,high,,,,,,,,,,,,,,
15000,Amboy Twin,,"4368 Amboy Road, Staten Island, NY 10312",Staten Island,40.5449352,-74.1611891,https://photos.cinematreasures.org/production/photos/358965/1636675903/large.png?1636675903,theater_images/15000.png,1977,1994,,Closed,2,Cinema Treasures,https://cinematreasures.org/theaters/15000,9/15/26,,,,,high,,,,,,,,,,,,,,
14482,AMC 19th Street East 6,"Loews 19th Street East 6, AMC Loews 19th Street East 6","890 Broadway, New York, NY 10003",Manhattan,40.738414,-73.989402,https://photos.cinematreasures.org/production/photos/289605/1572390539/large.JPG?1572390539,theater_images/14482.jpg,1989,,,Open (Showing movies),6,Cinema Treasures,https://cinematreasures.org/theaters/14482,9/15/26,,,,,high,,,,,,,,,,,,,,
11262,AMC 34th Street 14,"Loews 34th Street, AMC Loews 34th Street 14","312 W. 34th Street, New York, NY 10001",Manhattan,40.752488,-73.994216,https://photos.cinematreasures.org/production/photos/261992/1544493129/large.JPG?1544493129,theater_images/11262.jpg,2001,,,Open (Showing movies),14,Cinema Treasures,https://cinematreasures.org/theaters/11262,9/15/26,,,,,high,,,,,,,,,,,,,,
10715,AMC 84th Street 6,Loews 84th Street 6,"2310 Broadway, New York, NY 10024",Manhattan,40.7866992,-73.9776905,https://photos.cinematreasures.org/production/photos/74829/1371569669/large.jpg?1371569669,theater_images/10715.jpg,1985,,,Open (Showing movies),6,Cinema Treasures,https://cinematreasures.org/theaters/10715,9/15/26,,,,,high,,,,,,,,,,,,,,
28863,AMC Bay Plaza 13,General Cinema Bay Ridge Plaza 10,"2210 Bartow Avenue, Bronx, NY 10475",Bronx,40.8689596,-73.8233897,https://photos.cinematreasures.org/production/photos/160239/1456669980/large.jpg?1456669980,theater_images/28863.jpg,1989,,,Open (Showing movies),13,Cinema Treasures,https://cinematreasures.org/theaters/28863,9/15/26,,,,,high,,,,,,,,,,,,,,
16824,AMC Bay Terrace 6,"Sony Bay Terrace Sixplex, AMC Loews Bay Terrace 6","211-01 26th Avenue, Bayside, NY 11360",Queens,40.779063,-73.778679,https://photos.cinematreasures.org/production/photos/10929/1310263167/large.JPG?1310263167,theater_images/16824.jpg,1993,,,Open (Showing movies),6,Cinema Treasures,https://cinematreasures.org/theaters/16824,9/15/26,,,,,high,,,,,,,,,,,,,,
59343,AMC Dine-in Staten Island 11,,"2655 Richmond Avenue, Staten Island, NY 10314",Staten Island,,,https://photos.cinematreasures.org/production/photos/267345/1552607406/large.jpg?1552607406,theater_images/59343.jpg,2019,,,Open (Showing movies),11,Cinema Treasures,https://cinematreasures.org/theaters/59343,9/15/26,,,,,medium,Not stated on source page: coordinates.,,,,,,,,,,,,,
255,AMC Empire 25,"Eltinge 42nd Street Theatre, Eltinge Burlesque Theatre, Laffmovie Theatre, Empire Theatre","234 W. 42nd Street, New York, NY 10036",Manhattan,40.7566675,-73.9884602,https://photos.cinematreasures.org/production/photos/15650/1311125150/large.JPG?1311125150,theater_images/255.jpg,1912,,,Open (Showing movies),25,Cinema Treasures,https://cinematreasures.org/theaters/255,9/15/26,,,,,high,,,,,,,,,,,,,,
3252,AMC Fresh Meadows 7,"Meadows Theatre, RKO Meadows Twin, Loews Cineplex Fresh Meadows, AMC Loews Fresh Meadows 7","190-02 Horace Harding Boulevard, Fresh Meadows, NY 11365",Queens,40.7421929,-73.7807224,https://photos.cinematreasures.org/production/photos/5/1305870401/large.JPG?1305870401,theater_images/3252.jpg,1949,,,Open (Showing movies),7,Cinema Treasures,https://cinematreasures.org/theaters/3252,9/15/26,Cinema Treasures narrative,https://cinematreasures.org/theaters/3252,9/15/26,source_recovered,high,Opening year verified from Cinema Treasures narrative.,,,,,,,,,,,,,
